ClmDiagnosisCode_6_ID,ClmDiagnosisCode_6
1,78830
2,3558
3,2724
4,V8289
5,5119
6,3441
7,5859
8,5990
9,4019
10,49320
11,78605
12,99591
13,7831
14,42731
15,25080
16,412
17,2449
18,7140
19,2114
20,3019
21,3004
22,7282
23,7179
24,78701
25,78650
26,41400
27,20300
28,V7284
29,72400
30,73710
31,V4283
32,6269
33,V1254
34,72610
35,71887
36,28521
37,V4962
38,V7644
39,V5866
40,2761
41,6827
42,2859
43,1103
44,78609
45,55320
46,99673
47,3559
48,2801
49,40390
50,7197
51,42769
52,71590
53,V4501
54,4928
55,25070
56,7291
57,2809
58,311
59,42830
60,53081
61,25000
62,78039
63,V5861
64,V707
65,V726
66,V4582
67,5180
68,71589
69,319
70,4419
71,4512
72,4241
73,4280
74,4439
75,7837
76,42833
77,30000
78,3659
79,1460
80,1727
81,V011
82,5849
83,43820
84,V5869
85,4254
86,V4573
87,E9289
88,60000
89,72981
90,2851
91,2752
92,V103
93,0380
94,27800
95,7454
96,4139
97,72273
98,496
99,V5883
100,V700
101,25002
102,2720
103,36614
104,33829
105,56210
106,79431
107,700
108,32723
109,7851
110,41401
111,5932
112,4270
113,2948
114,4142
115,73300
116,4414
117,33182
118,3501
119,53560
120,5533
121,29410
122,1509
123,5303
124,V163
125,V1083
126,33811
127,4258
128,V1251
129,V061
130,27540
131,V1005
132,V7231
133,V037
134,43889
135,43883
136,45981
137,36250
138,7906
139,42822
140,E8490
141,5968
142,30520
143,58881
144,7289
145,70712
146,71690
147,5772
148,49121
149,2894
150,3320
151,4279
152,1971
153,7994
154,30590
155,V1046
156,V5867
157,71985
158,7242
159,9974
160,59989
161,72402
162,42761
163,V053
164,71509
165,59654
166,V1079
167,71946
168,78079
169,4160
170,5768
171,40391
172,56089
173,E8889
174,4299
175,V141
176,V4581
177,99739
178,2777
179,2140
180,2900
181,V6549
182,3689
183,V5881
184,4293
185,27801
186,51883
187,04110
188,6143
189,72190
190,49390
191,42823
192,E9179
193,V153
194,2930
195,V1582
196,V1508
197,V443
198,V420
199,436
200,7230
201,4409
202,42682
203,71941
204,56400
205,37487
206,V453
207,5680
208,2722
209,9975
210,11284
211,28860
212,34590
213,42832
214,V1082
215,5363
216,6918
217,80706
218,27651
219,7820
220,V1204
221,3051
222,V1272
223,0549
224,1985
225,72887
226,V1505
227,25200
228,25060
229,486
230,5853
231,V148
232,41072
233,V7283
234,5185
235,78659
236,5715
237,1759
238,2753
239,7295
240,70713
241,5952
242,V1309
243,70715
244,4149
245,3079
246,47830
247,7824
248,2768
249,3569
250,78720
251,5989
252,71515
253,73390
254,71535
255,1629
256,0389
257,3572
258,5933
259,3310
260,2769
261,57420
262,2819
263,4471
264,92320
265,81341
266,4148
267,61804
268,28529
269,V1011
270,28260
271,71691
272,30002
273,71944
274,78559
275,82120
276,9953
277,6256
278,7812
279,41091
280,5269
281,5854
282,85221
