ClmDiagnosisCode_4_ID,ClmDiagnosisCode_4
1,78054
2,3970
3,2948
4,71690
5,41400
6,25002
7,2689
8,8248
9,2113
10,34839
11,2449
12,29680
13,V4582
14,49121
15,7140
16,6272
17,4019
18,5990
19,41401
20,49320
21,2720
22,51181
23,2724
24,71946
25,V1254
26,70715
27,2662
28,4292
29,V5869
30,V4589
31,5722
32,2851
33,3310
34,V7651
35,30520
36,3320
37,4280
38,71590
39,2859
40,60001
41,V462
42,1749
43,V153
44,7213
45,4550
46,412
47,7245
48,25000
49,4011
50,V118
51,V4581
52,73739
53,E8889
54,78907
55,6279
56,2411
57,7823
58,6212
59,496
60,3384
61,7295
62,5859
63,7962
64,71699
65,3571
66,7881
67,1120
68,73399
69,72887
70,2410
71,58881
72,53081
73,2766
74,30393
75,4240
76,7840
77,5739
78,49390
79,59654
80,5939
81,32723
82,78702
83,2809
84,28521
85,56400
86,33829
87,4260
88,V433
89,2721
90,7994
91,6961
92,5713
93,6826
94,3083
95,5856
96,27800
97,486
98,V1005
99,68102
100,73390
101,2930
102,78830
103,30000
104,78659
105,7907
106,431
107,E9342
108,4241
109,72210
110,5920
111,7802
112,2739
113,7812
114,1629
115,1736
116,3051
117,V7283
118,3003
119,9592
120,V1083
121,7942
122,V140
123,V7284
124,04104
125,36250
126,28981
127,72479
128,4779
129,V5861
130,5853
131,7354
132,7850
133,7804
134,6262
135,58381
136,2910
137,V4364
138,V1003
139,340
140,3629
141,42731
142,2722
143,56210
144,V4501
145,2137
146,4168
147,7906
148,4553
149,V440
150,V103
151,99673
152,V771
153,490
154,3569
155,60000
156,78903
157,5368
158,7852
159,78079
160,7242
161,7469
162,29590
163,8794
164,1518
165,92421
166,36201
167,40390
168,40391
169,7201
170,33819
171,2810
172,78605
173,V1251
174,47832
175,5693
176,58889
177,V422
178,7820
179,00845
180,7813
181,4293
182,73730
183,82300
184,29620
185,V5883
186,07054
187,78650
188,3371
189,1623
190,5733
191,25071
192,3869
193,V078
194,V4572
195,44283
196,56200
197,3899
198,43821
199,V5866
200,V5865
201,7810
202,71591
203,53010
204,53540
205,73300
206,2384
207,40490
208,73017
209,311
210,5849
211,V1259
212,5880
213,V053
214,3804
215,32726
216,3531
217,E8788
218,62210
219,4556
220,73020
221,72402
222,4262
223,51889
224,4299
225,6184
226,7862
227,71947
228,78651
229,7244
230,7234
231,5854
232,4660
233,72981
234,53530
235,79029
236,7197
237,28522
238,51881
239,92310
240,V141
241,3689
242,2811
243,9627
244,42822
245,27730
246,71509
247,2749
248,5180
249,2682
250,V725
251,7235
252,V5811
253,V6700
254,7830
255,2777
256,V7189
257,4142
258,34590
259,V1581
260,36720
261,29181
262,2189
263,33399
264,6829
265,4380
266,E9174
267,71941
268,V6709
269,V4502
270,73028
271,E8497
272,4139
273,2875
274,49391
