ClmDiagnosisCode_1_ID,ClmDiagnosisCode_1
1,79678
2,71656
3,64881
4,36401
5,2948
6,31400
7,42490
8,11590
9,72089
10,4271
11,9918
12,3960
13,70721
14,29699
15,71525
16,78967
17,44022
18,29544
19,4011
20,30431
21,79029
22,V8749
23,2982
24,V707
25,3550
26,53021
27,28310
28,4731
29,2723
30,42830
31,V5881
32,41406
33,V6759
34,82520
35,V1260
36,42689
37,V5849
38,V816
39,V660
40,5845
41,27651
42,44103
43,7852
44,55202
45,3410
46,81001
47,7235
48,06642
49,24290
50,71590
51,8976
52,V554
53,V6546
54,486
55,570
56,9951
57,9694
58,31382
59,36622
60,4019
61,78723
62,46400
63,7915
64,V815
65,7136
66,V665
67,78609
68,7099
69,2724
70,9195
71,29575
72,5533
73,72871
74,V529
75,24900
76,38906
77,2720
78,34511
79,81119
80,V560
81,2308
82,1552
83,V7647
84,42732
85,47811
86,V491
87,2358
88,83202
89,V4585
90,8973
91,4143
92,1105
93,42781
94,V5399
95,7850
96,V652
97,V679
98,42731
99,71680
100,57450
101,V4365
102,43400
103,V060
104,78061
105,4910
106,78039
107,7802
108,3532
109,4289
110,42822
111,29382
112,7236
113,44024
114,56889
115,5952
116,28401
117,36524
118,2351
119,33111
120,7851
121,27784
122,2814
123,73300
124,36646
125,2701
126,2462
127,V041
128,46420
129,2137
130,42821
131,2134
132,85236
133,4280
134,1724
135,V0254
136,6824
137,27901
138,25022
139,V5889
140,42760
141,7312
142,V510
143,38832
144,2859
145,44101
146,42291
147,V773
148,2721
149,5728
150,7200
151,4473
152,3553
153,3051
154,V4584
155,3079
156,25001
157,7220
158,7828
159,59581
160,78651
161,80500
162,2397
163,29595
164,41401
165,8481
166,9222
167,243
168,7397
169,49121
170,1972
171,4467
172,6273
173,29525
174,33119
175,7239
176,1628
177,53461
178,57411
179,33984
180,49381
181,V8712
182,29633
183,20267
184,28481
185,78659
186,46411
187,7272
188,57510
189,3320
190,73395
191,8191
192,8709
193,V5781
194,33828
195,7295
196,73302
197,34651
198,71988
199,7874
200,55092
201,5579
202,41042
203,4358
204,42789
205,38652
206,4272
207,V5390
208,V573
209,4279
210,V706
211,V518
212,62929
213,56210
214,V769
215,V814
216,71821
217,4571
218,V5831
219,71500
220,34630
221,32739
222,42982
223,99859
224,V802
225,V7232
226,4784
227,71214
228,79021
229,60011
230,7015
231,5716
232,53081
233,42833
234,3941
235,71534
236,5853
237,72700
238,V558
239,V5869
240,6110
241,V5873
242,07071
243,23690
244,V6809
245,27652
246,78962
247,49392
248,V760
249,V5789
250,78701
251,6201
252,0389
253,8480
254,2810
255,81333
256,20062
257,71298
258,4911
259,8244
260,2751
261,V423
262,71520
263,72272
264,2818
